scenario,theta_multiplier,theta_per_m,exchange_coefficient,boundary_layer_depth_m,comparison_hour,final_wind_ms,final_core_moisture,final_central_pressure_hpa,final_rmw_km,delta_wind_ms,delta_core_moisture,delta_central_pressure_hpa,delta_rmw_km
hostile_open_ocean,0.9199999999999999,6.133333333333332e-07,0.0011039999999999997,1800.0,48.0,19.931864425219647,0.4799486550654105,967.5641920666693,73.01885478312084,0.8203046292201712,0.013707991733558023,0.36670644713683487,-2.5542452695037383
hostile_open_ocean,0.9299999999999999,6.199999999999999e-07,0.0011159999999999998,1800.0,48.0,19.8251307149436,0.478189135772736,967.5167963610475,73.34226374954106,0.713570918944125,0.011948472440883484,0.3193107415149825,-2.230836303083521
hostile_open_ocean,0.94,6.266666666666666e-07,0.0011279999999999999,1800.0,48.0,19.71964274105998,0.476443073765795,967.4698606534578,73.66447022752787,0.6080829450605059,0.010202410433942488,0.27237503392530016,-1.9086298250967104
hostile_open_ocean,0.95,6.333333333333332e-07,0.00114,1800.0,48.0,19.61537619642585,0.47471031231685074,967.4233772040004,73.98548601091323,0.5038164004263734,0.008469648984998246,0.225891584467945,-1.5876140417113476
hostile_open_ocean,0.96,6.399999999999999e-07,0.0011519999999999998,1800.0,48.0,19.512307444353578,0.47299069663743026,967.3773384585194,74.30532264158356,0.4007476483541019,0.006750033305577774,0.1798528389869034,-1.267777411041024
hostile_open_ocean,0.97,6.466666666666666e-07,0.0011639999999999999,1800.0,48.0,19.410413494939103,0.4712840738720913,967.3317370428886,74.62399141666008,0.2988536989396273,0.005043410540238824,0.13425142335609053,-0.9491086359645067
hostile_open_ocean,0.98,6.533333333333333e-07,0.001176,1800.0,48.0,19.309671982395308,0.4695902930907734,967.2865657574674,74.94150339545412,0.19811218639583217,0.003349629758920891,0.08908013793495684,-0.6315966571704621
hostile_open_ocean,0.99,6.599999999999999e-07,0.0011879999999999998,1800.0,48.0,19.21006114334109,0.46790920527982877,967.24181757181,75.25786940620816,0.09850134734161387,0.0016685419479762764,0.04433195227750275,-0.31523064641642407
hostile_open_ocean,1.0,6.666666666666666e-07,0.0012,1800.0,48.0,19.111559795999476,0.4662406633318525,967.1974856195325,75.57310005262458,0.0,0.0,0.0,0.0
hostile_open_ocean,1.01,6.733333333333333e-07,0.001212,1800.0,48.0,19.014147320261046,0.46458452203440553,967.153563193385,75.8872057201914,-0.09741247573843026,-0.0016561412974469558,-0.04392242614744646,0.314105667566821
hostile_open_ocean,1.02,6.8e-07,0.0012239999999999998,1800.0,48.0,18.917803638571066,0.4629406380577336,967.1100437404988,76.20019658231053,-0.19375615742841035,-0.0033000252741188785,-0.08744187903369038,0.627096529685943
hostile_open_ocean,1.03,6.866666666666666e-07,0.001236,1800.0,48.0,18.822509197600734,0.4613088699415608,967.0669208578158,76.51208260623496,-0.2890505983987417,-0.0049317933902917055,-0.13056476171664144,0.9389825536103729
hostile_open_ocean,1.04,6.933333333333333e-07,0.001248,1800.0,48.0,18.72824495066585,0.45968907808104914,967.0241882876571,76.82287355882008,-0.3833148453336257,-0.006551585250803349,-0.17329733187534657,1.2497735061954955
