SID,NAME,crossing_time,crossing_lon,crossing_lat,JTWC,JMA,CMA,HKO,KMA,JTWC_minus_CMA_ms,JMA_minus_CMA_ms,CMA_minus_CMA_ms,HKO_minus_CMA_ms,KMA_minus_CMA_ms
2019216N16147,KROSA,2019-08-15 00:50:01.888608609+00:00,132.5,32.894566854261754,25.981378802473944,25.364744232050832,26.256985355322556,27.936966454273055,28.522906496751776,-0.27560655284861113,-0.8922411232717238,0.0,1.679981098950499,2.265921141429221
2019231N13135,BAILU,2019-08-24 22:29:12.431402181+00:00,117.37654157492932,23.5730179750909,19.740643148800057,20.57777777777778,20.012476178167866,24.4474404633693,19.302996018924855,-0.2718330293678086,0.5653015996099136,0.0,4.434964285201435,-0.7094801592430109
2019243N06136,LINGLING,2019-09-07 05:55:34.604492852+00:00,125.19508526838617,37.87296897612383,31.156950952377976,30.898271121350167,31.662079164359753,36.07432002047811,35.00750578596902,-0.505128211981777,-0.7638080430095862,0.0,4.412240856118359,3.3454266216092705
2019268N10155,MITAG,2019-10-01 11:56:27.232854281+00:00,122.39802993383591,29.887194569933627,28.729563633043927,30.866666666666667,31.62692566685778,30.917341146331022,31.92596024335417,-2.8973620338138524,-0.7602590001911125,0.0,-0.7095845205267572,0.2990345764963891
2019278N16165,HAGIBIS,2019-10-12 08:56:33.588316361+00:00,138.78853268424234,34.631843416717004,38.32038621751945,38.632494140701915,38.0654888333924,42.46624707035096,39.62205438369594,0.2548973841270481,0.5670053073095147,0.0,4.400758236958559,1.5565655503035387
2019302N11118,BULBUL:MATMO,2019-10-30 15:35:11.977485735+00:00,109.32289024391406,13.419555347090148,23.92166666666667,25.722222222222225,23.7056,25.722222222222225,21.91990831771693,0.21606666666666996,2.0166222222222245,0.0,2.0166222222222245,-1.785691682283069
2019308N13114,NAKRI,2019-11-10 17:14:31.863234993+00:00,109.37578157680572,12.787369737199048,21.831636936636823,21.227534630760193,22.353899912196447,18.65531240853797,19.554249926830376,-0.5222629755596238,-1.1263652814362537,0.0,-3.6985875036584765,-2.79964998536607
2019314N14136,KALMAEGI,2019-11-19 17:49:48.225941988+00:00,122.20849686191684,18.522658298444867,31.233672732324656,23.51426361736019,26.724750891626528,25.940780392638334,24.31002379113856,4.508921840698129,-3.210487274266338,0.0,-0.783970498988193,-2.414727100487969
2019329N09160,KAMMURI,2019-12-02 14:45:41.276133823+00:00,124.1477068814542,12.99204885309096,56.311019009654544,46.3,47.90506666666667,51.44444444444445,43.21333333333334,8.405952342987874,-1.6050666666666729,0.0,3.53937777777778,-4.691733333333332
2019354N05151,PHANFONE,2019-12-24 08:48:19.384255380+00:00,125.69865387115414,11.187025634358896,41.78532455414718,37.213789843169,35.533010048103634,33.272024130782455,33.33877003402503,6.252314506043547,1.6807797950653693,0.0,-2.260985917321179,-2.194240014078602
